Case,TCGA-CS-4942,TCGA-CS-4943,TCGA-CS-5393,TCGA-CS-5394,TCGA-CS-6290,TCGA-CS-6665,TCGA-CS-6666,TCGA-DB-5273,TCGA-DB-5277,TCGA-DB-A4XB,TCGA-DB-A4XD,TCGA-DB-A4XF,TCGA-DB-A64X,TCGA-DB-A75L,TCGA-DB-A75O,TCGA-DH-5142,TCGA-DH-A66B,TCGA-DH-A66D,TCGA-DH-A7UT,TCGA-DH-A7UU,TCGA-DH-A7UV,TCGA-DU-7010,TCGA-DU-7298,TCGA-DU-7299,TCGA-DU-A5TP,TCGA-DU-A5TW,TCGA-DU-A6S7,TCGA-E1-5302,TCGA-E1-5303,TCGA-E1-5304,TCGA-E1-5305,TCGA-E1-5307,TCGA-FG-7636,TCGA-FG-8185,TCGA-FG-A6J3,TCGA-FG-A87N,TCGA-HT-7477,TCGA-HT-7479,TCGA-HT-7601,TCGA-HT-7686,TCGA-HT-7855,TCGA-HT-8106,TCGA-HT-8563,TCGA-HT-A5R7,TCGA-HT-A618,TCGA-HT-A74O,TCGA-HW-8319,TCGA-HW-8320,TCGA-HW-8321,TCGA-P5-A5EU,TCGA-P5-A5EZ,TCGA-P5-A72W,TCGA-P5-A72X,TCGA-S9-A6TS,TCGA-S9-A6U1,TCGA-S9-A6U6,TCGA-S9-A6U9,TCGA-S9-A6WG,TCGA-S9-A6WL,TCGA-S9-A6WN,TCGA-S9-A7IS,TCGA-S9-A7IZ,TCGA-S9-A7QW,TCGA-S9-A7QX,TCGA-S9-A7R4,TCGA-S9-A7R8,TCGA-S9-A89Z,TCGA-TM-A84F,TCGA-TM-A84I,TCGA-VV-A86M,TCGA-WY-A858
GFAP,38669.2905,10648.59826,10695.26316,777.1738405,109127.5061,15337.79585,8441.264752,99024.57326,4853.357833,9466.964668,20846.91543,24593.3122,16853.48335,13795.69652,138544.6339,28620.74857,46433.46384,26773.38739,29034.37268,13974.44826,24866.87135,14984.88175,10048.34049,11589.29103,12353.19335,14195.47919,15336.92933,35405.88459,105190.3538,2814.170978,16153.24626,11366.54592,19184.46193,5214.293056,58678.6445,1816.921521,7244.751906,63288.86522,43106.99809,50680.72441,8381.363891,17034.4766,30744.13421,26946.43024,45795.01072,35421.9094,11538.29218,19606.16918,9876.731775,29767.21861,18979.39795,32081.60704,31345.61404,17969.49166,9991.115741,14763.53623,72622.48149,43764.06565,11943.41101,83929.59833,3854.675008,18598.3184,7791.830818,30671.13037,13103.05693,25648.36461,24942.33692,76308.57443,22586.12107,15885.55068,47857.75042
CLU,4814.797728,2712.324833,4904.601159,3613.811879,13614.51823,4222.314229,8681.019761,14567.25352,3104.963312,4506.953945,3878.159076,9191.411359,7342.725427,3771.481708,24514.05162,5483.453111,7059.162911,8792.396127,10261.13621,1895.802541,4508.08777,3953.641095,3375.231307,4558.718835,2558.818426,3369.910584,3230.772334,13914.80626,18504.617,1113.85612,7349.749528,5447.600843,8848.187142,3740.743845,35257.32493,1786.612594,2784.571209,13745.34381,8287.14432,12085.50393,4408.630503,7304.169104,13813.46031,8452.570298,8728.768543,7789.596816,3980.829851,6827.931142,3505.907027,3670.847858,3384.407783,12515.83867,11671.37763,6263.87509,2470.799755,3067.192494,11431.63785,4667.725462,4381.829504,46981.71861,1008.058627,7525.479053,4194.811162,4710.875769,3388.601233,2505.084203,8525.790825,11103.42855,6246.476695,1023.690326,9018.319645
BCAN,4851.603531,5241.815159,5305.982267,4046.281151,2590.445114,2623.523196,5351.848941,5385.835263,4150.459751,3795.488726,6366.434753,4962.680852,6816.452642,4183.945761,4836.863662,6667.281198,4855.93358,5529.705682,4336.728013,6044.212326,7709.361238,5081.703613,3548.121167,2700.084368,1841.565132,7719.904155,11661.33859,4835.721258,3660.200354,10522.87279,4902.410793,5562.599726,9211.935066,9419.650675,2450.396144,3384.178342,7276.339273,1891.483434,3091.999322,3375.163046,7479.433783,874.5401467,131.1428053,2096.549477,2976.609483,6465.017935,3444.790373,7015.291027,6462.315261,2000.728398,3837.600566,9820.392602,4632.947233,6026.104953,5292.828256,8107.835826,2474.286463,1847.924988,2158.943862,566.1343636,2332.95914,3619.083332,6939.324108,10727.91917,4293.236825,4148.732717,4952.527297,2956.88109,6478.51115,5487.059638,2953.800393
SPARC,3920.06265,3090.644806,4386.580482,1412.031147,8135.27722,1865.493266,7147.271566,11882.19589,1910.175553,4363.320667,4212.054677,4560.923921,5561.581722,1364.387351,19642.42264,4864.564186,2827.153696,5227.10112,12963.09512,2327.502412,1616.362497,2726.406347,3460.797393,9325.182647,2556.623024,2443.354624,1823.019826,4737.989725,9838.721118,1355.731395,5892.298715,177.870311,4947.880169,4065.404025,1034.510995,2335.87181,2999.077589,8317.45542,8116.757171,13457.66871,9507.855037,3142.187236,5124.746206,3807.97643,4933.405106,4219.211528,2012.393806,9522.98947,6376.63447,3792.073069,2270.117667,5496.427681,7958.538277,2739.21338,4225.647121,3215.758583,5134.194847,2589.542336,1855.220407,9711.706448,1319.789078,832.6773438,2005.470495,4071.996999,6035.809562,2508.504878,2439.251463,8111.114194,3514.713737,1191.359848,5442.146913
ACTB,4782.041696,2823.963781,2977.425819,3448.771742,4621.764723,5878.900048,5197.711021,5475.535153,2897.28306,2489.21577,2986.158171,3689.058649,5313.551258,3970.981459,4858.865249,6702.231853,7543.821108,4074.862611,4909.033451,3630.149053,3484.462479,4113.67771,2528.010382,3221.225986,6212.122268,5064.833665,3388.3035,4339.810424,6843.135051,2547.449625,3617.445565,3060.361125,4417.209423,4266.541253,10884.22837,3631.037826,3155.069335,4070.640044,5005.77104,4288.804431,4501.954568,6300.37037,6926.468674,2824.02854,5743.216142,7573.089638,2445.953216,4213.128576,4317.34856,7328.430365,4153.333407,5572.767766,3735.843432,3361.927801,3458.54161,3236.675172,6305.850615,4498.971261,3130.024687,7939.606338,4051.071391,5544.923374,3140.991381,4320.821637,3696.02992,3109.586068,7203.091508,4018.055535,3823.975777,3480.023239,5772.586783
CRYAB,2694.922994,2672.994389,1086.256978,2347.416657,4028.127291,1899.377935,5591.219003,14999.66293,1573.666614,846.4867763,2572.13291,7447.932116,1918.646373,3881.381001,6894.695349,9775.594224,10065.37471,6781.936157,8017.033474,937.0754109,2295.356631,1772.816966,2126.72711,1946.992341,6477.211495,4685.883189,1982.323765,4917.475051,6302.683169,1950.271347,1892.566383,665.5018571,3890.016237,4797.380078,7773.725501,486.6197201,1975.314637,2451.077147,9143.850517,8917.101097,3620.742882,2638.497153,4561.611247,851.4063893,3618.308354,11154.24612,858.0294613,2603.943641,5645.889655,1107.79228,1125.254068,8028.985907,1556.700908,2189.43606,2141.864166,1892.777324,2651.812804,1550.106076,742.1114644,1874.283043,666.7991642,3164.196017,2567.424773,3102.123253,2114.736018,3117.795693,4915.863638,4494.690041,2941.330454,3991.823241,3405.762392
EEF1A1,3768.563644,4744.637422,3949.149884,2627.762967,3239.238734,3012.746777,4147.63934,3950.774046,4332.776569,2182.758184,4794.640375,3007.033176,4135.842297,2837.42954,3610.07698,5181.550429,3529.306409,4026.39495,4738.89023,2758.972187,4477.679752,2263.021189,2555.815197,3651.827864,3164.92673,4272.095292,3430.166926,4323.791447,5638.429593,2717.882057,2794.615933,4060.216437,4809.913346,5751.194971,1938.563401,4778.953224,2430.261863,3650.861408,2462.678715,4497.683132,3987.051994,3337.065172,1858.03037,1275.534125,2983.279011,4457.745129,1793.814843,4085.61816,4089.16957,1715.561998,2871.782652,4358.258336,2640.27855,3477.846904,3888.84836,3563.895122,2951.218209,3718.329193,3274.73258,2406.250234,3058.363829,2666.911816,5526.326864,7160.16398,4473.11219,3790.464794,2200.229759,3992.337845,5148.016166,7826.273776,3858.708508
APOE,3630.780172,2043.375421,1938.682373,1512.46644,6083.568387,898.5558842,1633.15549,6706.994203,1766.681059,1140.112324,3264.165251,1368.087943,13384.56855,2710.495553,8542.260189,1240.2082,2040.99662,3276.940477,5872.986467,4063.298508,6131.884894,583.0442689,926.9229996,4244.180015,1597.98641,3654.515919,4489.259211,3967.619705,5705.667306,642.694796,1796.249312,2649.993515,1987.838867,4875.16185,4508.760166,1096.763207,1781.454521,2738.187732,1212.66614,3684.798498,6671.273294,1775.723374,1163.156165,2805.75834,3436.557372,11408.54093,2341.58471,4535.598198,3908.613471,372.2807043,1114.217667,11016.85299,8127.205333,9826.339972,3452.251073,2986.959285,3718.097414,1995.234061,1185.462887,1467.011428,422.8580598,5197.322051,2657.859522,5363.287897,4258.323787,1739.400076,2965.075094,5806.264965,3094.089227,1842.769039,7247.328278
SPARCL1,4012.435037,1435.298662,5303.682154,3969.441987,4346.982494,1576.807407,2698.353383,5058.041935,2136.544647,3742.734791,4996.616814,3377.200603,5060.430152,4158.730331,2960.955172,3102.873689,1974.091099,3529.209179,4295.730012,1350.413884,3349.43168,1814.981365,4233.816599,3392.099049,886.2992313,2692.6989,3228.51695,3440.76739,5998.117477,1511.829556,6347.6793,7175.849593,4328.306936,3660.868458,1607.696784,791.62094,1447.062026,4086.621888,3207.193575,6530.439185,4979.551816,2034.010511,7108.719148,4171.85572,5288.763748,2216.505073,4258.67579,5124.584073,3976.898769,2377.301971,1197.53404,4338.872243,4295.762596,6954.689984,3325.972789,3859.273575,2526.318242,2453.879121,2908.535397,6136.285881,498.4402543,4249.8613,4253.263188,3280.196311,3119.188956,1187.658719,1918.131088,5564.21933,3956.026054,1162.998441,2788.056656
EEF2,2871.700085,4342.09833,4107.68596,2772.829854,2501.538883,2599.072944,4002.37788,3213.079263,2736.343208,3106.351255,5274.651652,2184.898665,3167.375323,2516.687635,3759.487619,4616.97775,3624.496073,4049.992562,3956.837439,2185.374169,3723.469082,1808.695894,3092.788979,2720.365386,3224.801325,3888.459959,3009.698412,3914.835769,3721.465282,5574.100238,3503.26267,4395.456822,4410.301621,4013.231277,1279.050528,4023.941209,2414.032561,2225.476866,1849.684104,2579.206499,3428.646793,1521.917845,1134.135503,1812.357717,1806.39394,4571.59013,1863.505112,4291.667741,3178.356506,1006.484436,2516.613391,4917.135937,2956.945843,2588.02348,3177.089796,3136.548389,2346.119575,3233.265505,2999.950701,1714.491123,3114.606366,2153.947189,3756.860084,5445.731892,2776.338081,3372.868661,1533.670343,2547.983446,4692.884394,4734.398404,2771.199744
GAPDH,2087.156377,5673.28365,2532.621941,2113.067631,2771.78249,1731.21491,2708.497912,4113.033335,3548.869106,1542.268396,1711.7503,1870.164259,2839.775909,2284.260938,3924.240838,2291.775441,2658.067696,1783.98073,2260.889797,1759.265552,2105.45783,1740.464808,2315.966503,5837.901922,3138.870194,1679.64744,1722.102779,2245.483434,4575.209041,5460.921593,2244.991364,2892.932431,3424.496492,6577.852415,10518.29421,1956.069909,2281.158953,2607.423747,2158.37658,2421.745613,2325.162627,2807.926284,2869.932429,2569.414679,2169.970844,3728.731084,1400.490584,2327.012074,2331.063086,6124.647987,2118.844108,4097.515371,2274.121327,2756.597827,1550.404906,2397.434165,1947.864273,2000.084449,2745.931262,2818.645602,3201.014739,3037.713102,2279.482672,2678.459627,1720.145964,1813.943449,2276.012423,2439.288788,2950.929594,2319.915132,2909.166088
PEA15,3772.782749,2621.295591,2361.015828,4632.049215,3260.985625,1391.107717,2696.519217,5974.522063,2256.997913,2043.658895,2836.89626,1872.888979,3594.352919,3169.657119,3719.890696,3907.220976,1617.07805,2820.393257,2594.568988,3552.250953,3970.5719,4733.118001,1953.170541,3104.416109,1600.203322,2409.465631,4532.843412,3963.349236,4645.066211,1317.672866,3576.403079,2291.168781,3778.521441,5761.394869,1414.322397,539.4320074,1055.552729,3714.60125,3152.209559,2541.370745,2284.758247,1146.401417,952.2764437,2208.584151,3038.408814,2408.320819,3315.258764,3257.407815,2420.95365,1955.208516,1912.871538,4419.999819,3782.896369,3398.998415,3407.663699,2623.872193,2575.702317,1678.529152,1503.841218,1752.453852,658.4023378,2666.178222,3894.426538,3066.097663,1800.081545,1123.896223,1559.405333,2602.165309,2242.369696,967.4790386,2217.555663
PSAP,3566.866349,1833.578651,1743.617429,2172.608028,3002.860357,2068.639238,2409.347612,3173.503107,1347.699823,1710.795826,2340.547362,3510.74952,2940.288421,1820.447986,2744.690049,3332.753332,5488.548556,2409.315582,2330.825786,1395.880197,2165.501666,1481.584815,1530.507109,1716.052322,1854.848421,1991.016294,2682.23008,3277.342697,3176.900207,1259.089313,3209.489775,1725.708899,2363.675447,2027.635475,3780.017354,1691.219398,1448.318229,2770.380621,3362.376071,3470.970063,2912.853111,4246.851233,6038.309802,1836.751863,2730.361377,5537.189164,1725.985872,2864.345715,2498.484154,2093.218458,1839.215034,3274.428809,2912.60297,2402.224384,2389.362801,1831.918462,2924.337747,2036.499313,1949.082466,5407.120751,1553.473795,3718.296893,2028.085283,2043.586136,1981.751289,2052.816097,3331.639357,2256.652376,1759.994565,1978.343807,2365.3006
MBP,1796.835084,1196.265696,5990.535689,64.13063858,6285.156756,7710.346599,26.22178815,1969.101323,2447.397568,1035.146248,2624.477588,407.5096496,87.53691144,1454.987451,2609.348884,140.9406408,26.6567762,559.5566087,11197.42391,2290.020314,3444.266293,5502.861364,3942.797959,3853.627656,710.9331968,1312.658319,4854.443598,1328.038026,11489.42494,1005.310354,1361.063863,794.9940224,2170.801046,46.74610838,4397.929749,679.8979032,580.445715,13066.48032,6901.601265,1987.753088,23.04747906,5757.07795,197.2733723,3540.098255,1772.946365,2536.136543,1002.807779,28.15991473,1595.518428,178.4247919,7249.587278,1156.821112,268.991871,736.2380291,4736.073209,595.4544027,7816.949003,698.5547436,114.8109142,168.0217771,2776.195902,287.9758757,1496.137688,1593.427987,329.5160369,4995.637372,2116.00536,4470.278648,288.098412,13.66887392,3761.566992
ACTG1,2088.286543,1945.416121,2714.245175,972.9420577,2236.916707,2443.315091,2769.795304,2588.908038,1808.484093,2480.062252,2467.020567,3273.67685,2341.363323,2144.576429,2518.860295,3280.404503,4458.832462,2322.672307,2553.663408,2010.917906,2208.974486,2313.289301,1582.116475,1811.35114,2918.908672,1579.545905,2378.55838,2416.492883,3424.043559,2754.798004,2325.678746,2330.193819,3340.774854,3092.914134,5427.971269,2562.013399,2228.783498,2556.824021,2042.954256,2091.99445,3134.052205,1869.454187,2437.437029,1583.332298,2212.960598,3981.369761,1421.926589,2159.286979,1262.461305,3404.129191,1909.997727,3620.646824,2303.964105,2516.729008,2537.169172,2077.649617,2736.148295,3536.402613,2511.555747,3288.729597,3976.209827,2486.376752,3165.509028,2987.761436,1832.910223,1974.742587,3065.893532,2011.422644,2129.892567,2929.143501,2346.761175
